Date,Message
"====================================
Chart Info: FX:GBPUSD
Timeframe: 3 Minute(s)
Timezone: America/New_York
Start Date: 2026-05-10 17:00 (Actual)
End Date: Last Candle
Data Format: YYYYMMDD HHMM;Open;High;Low;Close;Volume
===================================="
20260511 1318;1.36417;1.36438;1.36409;1.36437;324
20260511 1321;1.36437;1.3644;1.36426;1.36427;275
20260511 1324;1.36427;1.36443;1.36417;1.3643;464
20260511 1327;1.3643;1.36438;1.36418;1.36426;501
20260511 1330;1.36426;1.36437;1.3642;1.36433;502
20260511 1333;1.36433;1.36442;1.36424;1.36439;416
20260511 1336;1.36439;1.36452;1.36435;1.36436;372
20260511 1339;1.36436;1.3644;1.36427;1.3643;186
20260511 1342;1.3643;1.36434;1.36409;1.3641;259
20260511 1345;1.3641;1.36427;1.36407;1.36407;287
20260511 1348;1.36407;1.36425;1.36403;1.36423;279
20260511 1351;1.36423;1.36423;1.36416;1.36419;206
20260511 1354;1.36419;1.36437;1.36414;1.36434;321
20260511 1357;1.36434;1.3644;1.3642;1.36426;357
20260511 1400;1.36426;1.36438;1.36425;1.36427;439
20260511 1403;1.36427;1.36442;1.3642;1.3643;384
20260511 1406;1.3643;1.36438;1.36426;1.36436;258
20260511 1409;1.36436;1.36439;1.36409;1.36411;366
20260511 1412;1.36411;1.36418;1.36402;1.36407;219
20260511 1415;1.36407;1.36421;1.36406;1.36409;228
20260511 1418;1.36409;1.36417;1.36382;1.36396;385
20260511 1421;1.36396;1.36398;1.36373;1.36378;322
20260511 1424;1.36378;1.36386;1.36367;1.36368;385
20260511 1427;1.36368;1.36382;1.36359;1.36367;407
20260511 1430;1.36367;1.36369;1.3635;1.36361;387
20260511 1433;1.36361;1.36364;1.36357;1.36363;335
20260511 1436;1.36363;1.36363;1.36341;1.36348;274
20260511 1439;1.36348;1.36348;1.36325;1.36326;287
20260511 1442;1.36326;1.36326;1.36296;1.36297;306
20260511 1445;1.36297;1.36301;1.36282;1.36301;429
20260511 1448;1.36301;1.36309;1.36271;1.36279;326
20260511 1451;1.36279;1.36313;1.36277;1.36302;330
20260511 1454;1.36302;1.36304;1.36291;1.363;346
20260511 1457;1.363;1.36312;1.36287;1.36287;477
20260511 1500;1.36287;1.36297;1.36281;1.36289;445
